英文原文	真实法文	模型预测法文
============================================================
I gave you my word.	Je t'ai donné ma parole.	Je t'ai donné mon mot.
I liked your idea and adopted it.	J'ai aimé ton idée et l'ai adopté.	J'appréciai de votre idée et je le <unk>
Let me help you put on your coat.	Laissez-moi vous aider à mettre votre manteau.	Laissez-moi vous aider votre manteau.
How stupid he is!	Quel imbécile il fait !	Comment est-il là ?
I think that's highly unlikely.	Je pense que c'est hautement improbable.	Je pense que c'est hautement <unk>
If you do not have this book, you can buy it.	Si vous ne disposez pas de ce livre, vous pouvez en faire l'acquisition.	Si tu n'as pas le <unk> tu peux te <unk>
Are you seriously thinking about selling this on eBay?	Pensez-vous sérieusement à vendre ça sur eBay ?	Penses-tu sérieusement à vendre cette <unk> ?
Money is welcome everywhere.	L'argent est bienvenu partout.	L'argent est le bienvenu partout.
Did she say that?	A-t-elle dit ça ?	A-t-elle dit cela ?
I don't care what's happened.	Je me fiche de ce qui est arrivé.	Je me fiche de ce qui s'est passé.
All her carefully made plans began to unravel one by one.	Tous ses projets soigneusement conçus commencèrent à s'effondrer un à un.	Toutes ses <unk> <unk> <unk> à <unk>
How many of you are going?	Combien d'entre-vous partent-ils ?	Combien de lettres y a-t-il ?
That's not the point.	Ce n'est pas le sujet.	Ce n'est pas le sujet.
You can't handle this alone.	Vous ne pouvez pas gérer ça tout seul.	Vous ne pouvez pas gérer ça seul.
It looks like you've got a green thumb.	On dirait que tu as la main verte.	Il semble que vous avez une blague.
She is determined to leave the company.	Elle est déterminée à quitter l'entreprise.	Elle est tombée en laisser la compagnie.
The result was disappointing.	Le résultat fut décevant.	Le résultat était décevant.
I can't stand it anymore.	Je ne parviens plus à le supporter.	Je ne peux plus supporter
I really need to talk to you privately.	Il me faut vraiment te parler en privé.	Il me faut vraiment te parler.
I did everything I could to help Tom find a job.	J'ai fait tout mon possible pour aider Tom à trouver un emploi.	J'ai fait tout ce que je pouvais à trouver Tom trouver un travail.
I don't have a passport.	Je ne dispose pas d'un passeport.	Je n'ai pas de passeport.
You have a pretty good memory.	Vous êtes doté d'une assez bonne mémoire.	Tu as une assez bonne mémoire.
I'll go anywhere you want.	J'irai où tu veux.	J'irai où tu veux.
What is critical thinking?	Qu'est-ce que la pensée critique ?	Quel est le plus proche ?
These shoes are so tight that I can't put them on.	Ces chaussures sont si serrées que je ne peux pas les mettre.	Ces chaussures sont tellement <unk> que je ne peux pas les <unk>
Tell me what I have to do.	Dites-moi ce que j'ai à faire.	Dis-moi ce que j'ai à faire.
Please lend me the video when you have seen it.	S'il vous plaît prêtez-moi la vidéo quand vous l'aurez vue.	Veuillez me prêter la vue lorsque vous l'avez vu.
I am in agreement with most of what he says.	Je suis en accord avec l'essentiel de ce qu'il dit.	Je suis en train de voir avec ce qu'il dit.
Could you say that again?	Pourriez-vous répéter cela ?	Pourrais-tu dire cela ?
I have many friends I can talk to.	J'ai de nombreux amis auxquels je peux parler.	J'ai beaucoup d'amis à me parler.
They were stuck in the elevator for four hours.	Ils sont restés coincés dans l'ascenseur pendant quatre heures.	Elles étaient <unk> dans le <unk>
Everything's going to work out.	Tout va bien se passer.	Tout va travailler à sortir.
I think your English has improved a lot.	Je pense que ton anglais s'est beaucoup amélioré.	Je pense que votre <unk> a l'air d'un <unk>
We've had enough of that.	Nous en avons assez vu.	Nous avons assez de ça.
You are the one.	Tu es l'élu.	Vous êtes le un.
I need envelopes.	J'ai besoin d'enveloppes.	J'ai besoin de <unk>
I need to go to sleep.	Je dois aller dormir.	Il me faut aller dormir.
I belong to the baseball team.	J'appartiens à l'équipe de baseball.	Je n'appartiens à la barbe
We better be going.	On ferait mieux d'y aller.	Nous ferions mieux d'y aller.
I wasn't strong enough.	Je n'étais pas assez fort.	Je ne suis pas assez fort.
Whether you believe it or not, I want to get this thing over with as much as you do.	Que vous le croyiez ou non, je veux en finir autant que vous avec ça.	Que pensez-vous que je sois en classe, je veux faire autant de choses ici.
Get on with it.	Continuez !	<unk> avec lui.
You're free to leave now.	Tu est libre de partir maintenant.	Vous êtes libre de partir maintenant.
I caught a cold.	Je contractai un rhume.	J'ai attrapé froid.
The cat is licking itself.	Le chat est en train de se lécher.	Le chat est <unk>
You remind me of somebody.	Vous me rappelez quelqu'un.	Tu m'as <unk>
Here is one of my pictures.	Voici un de mes tableaux.	Voici une photos.
We have finished lunch.	Nous avons fini de dîner.	Nous avons fini de déjeuner.
I just got there as fast as I could.	Je m'y suis simplement rendue aussi vite que possible.	Je viens de m'y rendre aussi vite que je pouvais.
I'll see you tomorrow.	Je vous verrai demain.	Je vous verrai demain.
I knew you'd be mad.	Je savais que vous seriez furieux.	Je savais que vous seriez folle.
Are you having any difficulty doing that?	As-tu des difficultés à faire cela ?	Es-tu <unk> de faire ça ?
It was gambling that brought about his ruin.	C'est le jeu qui entraîna sa ruine.	C'était <unk> qu'il était en <unk> de son mari.
Everyone pretended not to listen.	Tout le monde faisait semblant de ne pas écouter.	Tout le monde ne <unk> pas.
François has a good idea.	François a une bonne idée.	<unk> est une bonne idée.
